name,view,category,tags,jsModule,status
accordion,daisy::components.ui.advanced.accordion,advanced,"advanced, lazy",,active
calendar-cally,daisy::components.ui.advanced.calendar-cally,advanced,"advanced, lazy",,active
calendar-full,daisy::components.ui.advanced.calendar-full,advanced,"advanced, js, async, lazy",calendar-full,active
calendar-native,daisy::components.ui.advanced.calendar-native,advanced,"advanced, lazy",,active
calendar,daisy::components.ui.advanced.calendar,advanced,"advanced, lazy",,active
chart,daisy::components.ui.advanced.chart,advanced,"advanced, js, async, lazy",chart,active
code-editor,daisy::components.ui.advanced.code-editor,advanced,"advanced, js, async, lazy",code-editor,active
collapse,daisy::components.ui.advanced.collapse,advanced,"advanced, lazy",,active
countdown,daisy::components.ui.advanced.countdown,advanced,"advanced, lazy",,active
diff,daisy::components.ui.advanced.diff,advanced,"advanced, lazy",,active
fieldset,daisy::components.ui.advanced.fieldset,advanced,"advanced, lazy",,active
filter,daisy::components.ui.advanced.filter,advanced,"advanced, lazy",,active
icon,daisy::components.ui.advanced.icon,advanced,"advanced, lazy",,active
join,daisy::components.ui.advanced.join,advanced,"advanced, lazy",,active
label,daisy::components.ui.advanced.label,advanced,"advanced, lazy",,active
link,daisy::components.ui.advanced.link,advanced,"advanced, lazy",,active
login-button,daisy::components.ui.advanced.login-button,advanced,"advanced, lazy",,active
mask,daisy::components.ui.advanced.mask,advanced,"advanced, lazy",,active
onboarding,daisy::components.ui.advanced.onboarding,advanced,"advanced, js, async, lazy",onboarding,active
rating,daisy::components.ui.advanced.rating,advanced,"advanced, lazy",,active
scroll-status,daisy::components.ui.advanced.scroll-status,advanced,"advanced, js, async, lazy",scroll-status,active
scrollspy,daisy::components.ui.advanced.scrollspy,advanced,"advanced, js, async, lazy",scrollspy,active
swap,daisy::components.ui.advanced.swap,advanced,"advanced, lazy",,active
theme-controller,daisy::components.ui.advanced.theme-controller,advanced,"advanced, lazy",,active
transfer,daisy::components.ui.advanced.transfer,advanced,"advanced, js, async, lazy",transfer,active
tree-view,daisy::components.ui.advanced.tree-view,advanced,"advanced, js, async, lazy",treeview,active
validator,daisy::components.ui.advanced.validator,advanced,"advanced, lazy",,active
wysiwyg,daisy::components.ui.advanced.wysiwyg,advanced,"advanced, js, async, lazy",lazy-editors,active
changelog-change-item,daisy::components.ui.changelog.changelog-change-item,changelog,changelog,,active
changelog-header,daisy::components.ui.changelog.changelog-header,changelog,changelog,,active
changelog-toolbar,daisy::components.ui.changelog.changelog-toolbar,changelog,changelog,,active
changelog-version-item,daisy::components.ui.changelog.changelog-version-item,changelog,changelog,,active
chat-bubble,daisy::components.ui.communication.chat-bubble,communication,"communication, lazy",,active
chat-header,daisy::components.ui.communication.chat-header,communication,"communication, lazy",,active
chat-input,daisy::components.ui.communication.chat-input,communication,"communication, lazy",,active
chat-messages,daisy::components.ui.communication.chat-messages,communication,"communication, lazy",,active
chat-sidebar,daisy::components.ui.communication.chat-sidebar,communication,"communication, lazy",,active
chat-widget,daisy::components.ui.communication.chat-widget,communication,"communication, lazy",,active
conversation-view,daisy::components.ui.communication.conversation-view,communication,"communication, lazy",,active
notification-bell,daisy::components.ui.communication.notification-bell,communication,"communication, lazy",,active
notification-filters,daisy::components.ui.communication.notification-filters,communication,"communication, lazy",,active
notification-item,daisy::components.ui.communication.notification-item,communication,"communication, lazy",,active
notification-list,daisy::components.ui.communication.notification-list,communication,"communication, lazy",,active
avatar,daisy::components.ui.data-display.avatar,data-display,"data-display, lazy",,active
badge,daisy::components.ui.data-display.badge,data-display,"data-display, lazy",,active
file-preview,daisy::components.ui.data-display.file-preview,data-display,"data-display, lazy",,active
kbd,daisy::components.ui.data-display.kbd,data-display,"data-display, lazy",,active
progress,daisy::components.ui.data-display.progress,data-display,"data-display, lazy",,active
radial-progress,daisy::components.ui.data-display.radial-progress,data-display,"data-display, lazy",,active
stat,daisy::components.ui.data-display.stat,data-display,"data-display, lazy",,active
status,daisy::components.ui.data-display.status,data-display,"data-display, lazy",,active
table,daisy::components.ui.data-display.table,data-display,"data-display, js, async, lazy",table,active
timeline,daisy::components.ui.data-display.timeline,data-display,"data-display, lazy",,active
error-actions,daisy::components.ui.errors.error-actions,errors,errors,,active
error-content,daisy::components.ui.errors.error-content,errors,errors,,active
error-header,daisy::components.ui.errors.error-header,errors,errors,,active
loading-state-content,daisy::components.ui.errors.loading-state-content,errors,errors,,active
alert,daisy::components.ui.feedback.alert,feedback,feedback,,active
callout,daisy::components.ui.feedback.callout,feedback,feedback,,active
empty-state,daisy::components.ui.feedback.empty-state,feedback,feedback,,active
loading-message,daisy::components.ui.feedback.loading-message,feedback,feedback,,active
loading,daisy::components.ui.feedback.loading,feedback,feedback,,active
skeleton,daisy::components.ui.feedback.skeleton,feedback,feedback,,active
toast,daisy::components.ui.feedback.toast,feedback,feedback,,active
button,daisy::components.ui.inputs.button,inputs,"inputs, form",,active
checkbox,daisy::components.ui.inputs.checkbox,inputs,"inputs, form",,active
color-picker,daisy::components.ui.inputs.color-picker,inputs,"inputs, js, async, form",color-picker,active
file-input,daisy::components.ui.inputs.file-input,inputs,"inputs, js, async, form",file-input,active
input,daisy::components.ui.inputs.input,inputs,"inputs, form",,active
radio,daisy::components.ui.inputs.radio,inputs,"inputs, form",,active
range,daisy::components.ui.inputs.range,inputs,"inputs, form",,active
select,daisy::components.ui.inputs.select,inputs,"inputs, form",,active
sign,daisy::components.ui.inputs.sign,inputs,"inputs, js, async, form",sign,active
textarea,daisy::components.ui.inputs.textarea,inputs,"inputs, form",,active
toggle,daisy::components.ui.inputs.toggle,inputs,"inputs, form",,active
card,daisy::components.ui.layout.card,layout,layout,,active
crud-layout,daisy::components.ui.layout.crud-layout,layout,layout,,active
crud-section,daisy::components.ui.layout.crud-section,layout,layout,,active
divider,daisy::components.ui.layout.divider,layout,layout,,active
footer-layout,daisy::components.ui.layout.footer-layout,layout,layout,,active
